,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
1891,LenDenClub,FinTech,Series A,10000000.0,Mumbai,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,2015.0,"Bhavin Patel, Dipesh Karki","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",2021
1892,CometChat,Tech,Series A,10000000.0,Mumbai,"Voice, video & text chat SDKs, APIs & Plugins for Developers.",2009.0,"Anuj, Anant Garg",Signal Peak Ventures,2021
1893,AgroStar,AgriTech,Series D,70000000.0,Pune,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.",2013.0,"Shardul, Sitanshu Sheth","Evolvence, Hero Enterprise",2021
1894,Bizongo,InfoTech & Services,Series D,100000000.0,Mumbai,Bizongo is India’s largest B2B platform for made-to-order products.,2015.0,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,2021
1895,Probus Insurance,Insurance,Venture - Series Unknown,6700000.0,Mumbai,Probus Insurance is a leading InsurTech platform in India.,2002.0,Rakesh goyal,BlueOrchard Impact Investment Managers,2021
1896,MoEngage,Software Startup,Series D,30000000.0,Bangalore,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,2014.0,"Raviteja Dodda, Yashwanth Kumar",Steadview Capital,2021
1897,CloudSEK,Computer & Network Security,Series A,7000000.0,Bangalore,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,2015.0,Rahul Sasi,MassMutual Ventures,2021
1898,Exponent Energy,Automotive,Pre-series A,5000000.0,Bangalore,Simplifying energy for EVs by building a Flexible Energy Stack.,2020.0,"Arun Vinayak, Sanjay Byalal",YourNest VC,2021
1899,Trinkerr,Capital Markets,Series A,6600000.0,Bangalore,Trinkerr is India's first social trading platform.,2021.0,"Manvendra Singh, Gaurav Agarwal",Accel India,2021
1900,Zorro,Social network,Seed,32000000.0,Gurugram,Pseudonymous social network platform,2021.0,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",2021
1901,Ultraviolette,Automotive,Series C,150000000.0,Bangalore,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,2021.0,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",2021
1902,NephroPlus,HealthTech,Series E,24000000.0,Hyderabad,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",2009.0,Vikram Vuppala,IIFL Asset Management,2021
1903,Unremot,InfoTech & Services,Seed,700000.0,Bangalore,Unremot is a personal office for consultants!,2020.0,Shiju Radhakrishnan,Inflection Point Ventures,2021
1904,FanAnywhere,FinTech,Seed,,Bangalore,Celebrity NFT platform,2021.0,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio VC, DeltaHub Capital",2021
1905,PingoLearn,E-learning,Venture - Series Unknown,200000.0,Pune,PingoLearn offers language learning courses with snackable videos.,2021.0,"Mohit Menghani, Shubham Maheshwari","Titan Capital, Haresh Chawla, AngelList Syndicate",2021
1906,Spry,Music,Seed,1500000.0,Mumbai,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,2021.0,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",2021
1907,Enmovil,InfoTech & Services,Pre-series A,1300000.0,Hyderabad,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,2015.0,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,2021
1908,ASQI Advisors,FinTech,Pre-series A,1000000.0,Mumbai,Bringing Blockchain technology intro mainstream finance!,2019.0,Swapnil Pawar,Founders Room Capital,2021
1909,Insurance Samadhan,Insurance,Pre-series A,725000.0,Delhi,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,2018.0,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",2021
1910,Evenflow Brands,Consumer Goods,Venture - Series Unknown,500000.0,Mumbai,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,2020.0,"Utsav Agarwal, Pulkit Chhabra",,2021
1911,MasterChow,Hauz Khas,Seed,461000.0,Food & Beverages,A ready-to-cook Asian cuisine brand,2020.0,"Vidur Kataria, Sidhanth Madan",WEH Ventures,2021
1912,Fullife Healthcare,Primary Business is Development and Manufacturing of Novel Healthcare Products in Effervescent forms using imported propriety ingredients.,Venture - Series Unknown,,Pharmaceuticals	#REF!,Varun Khanna,2009.0,Morgan Stanley Private Equity Asia,$22000000,2021
1913,Trinkerr,Capital Markets,Series A,6600000.0,Bangalore,Trinkerr is India's first social trading platform.,2021.0,"Manvendra Singh, Gaurav Agarwal",Accel India,2021
1914,Zorro,Social network,Seed,32000000.0,Gurugram,Pseudonymous social network platform,2021.0,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",2021
1915,Ultraviolette,Automotive,Series C,150000000.0,Bangalore,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,2021.0,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",2021
1916,NephroPlus,HealthTech,Series E,24000000.0,Hyderabad,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",2009.0,Vikram Vuppala,IIFL Asset Management,2021
1917,Unremot,InfoTech & Services,Seed,700000.0,Bangalore,Unremot is a personal office for consultants!,2020.0,Shiju Radhakrishnan,Inflection Point Ventures,2021
1918,FanAnywhere,FinTech,Seed,,Bangalore,Celebrity NFT platform,2021.0,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio VC, DeltaHub Capital",2021
1919,PingoLearn,E-learning,Venture - Series Unknown,200000.0,Pune,PingoLearn offers language learning courses with snackable videos.,2021.0,"Mohit Menghani, Shubham Maheshwari","Titan Capital, Haresh Chawla, AngelList Syndicate",2021
1920,Spry,Music,Seed,1500000.0,Mumbai,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,2021.0,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",2021
1921,Enmovil,InfoTech & Services,Pre-series A,1300000.0,Hyderabad,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,2015.0,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,2021
1922,ASQI Advisors,FinTech,Pre-series A,1000000.0,Mumbai,Bringing Blockchain technology intro mainstream finance!,2019.0,Swapnil Pawar,Founders Room Capital,2021
1923,Insurance Samadhan,Insurance,Pre-series A,725000.0,Delhi,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,2018.0,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",2021
1924,Evenflow Brands,Consumer Goods,Venture - Series Unknown,500000.0,Mumbai,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,2020.0,"Utsav Agarwal, Pulkit Chhabra",,2021
1925,MasterChow,Hauz Khas,Seed,461000.0,Food & Beverages,A ready-to-cook Asian cuisine brand,2020.0,"Vidur Kataria, Sidhanth Madan",WEH Ventures,2021
1926,Fullife Healthcare,Primary Business is Development and Manufacturing of Novel Healthcare Products in Effervescent forms using imported propriety ingredients.,Venture - Series Unknown,,Pharmaceuticals	#REF!,Varun Khanna,2009.0,Morgan Stanley Private Equity Asia,$22000000,2021
1927,MoEVing,MoEVing is India's only Electric Mobility focused Technology Platform with a vision to accelerate EV adoption in India.,Venture - Series Unknown,,Gurugram	#REF!,"Vikash Mishra, Mragank Jain",2021.0,"Anshuman Maheshwary, Dr Srihari Raju Kalidindi",$5000000,2021
1928,Pristyn Care,HealthTech,Series E,96000000.0,Gurugram,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,2018.0,"Harsimarbir (Harsh) Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Kunal Shah, Deepinder Goyal, Abhiraj Singh Bhal",2021
1929,Plix,"Health, Wellness & Fitness",Series A,5000000.0,Mumbai,Plant-based nutraceutical firm,2018.0,"Rishubh Satiya, Akash Zaveri","Guild Capital, RPSG Capital Ventures",2021
1930,Uni Cards,FinTech,Series A,70000000.0,Bangalore,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.",2020.0,"Nitin Gupta, Prateek Jindal, Laxmikant Vyas","General Catalyst, Eight Roads Ventures, Elevation Capital",2021
1931,Practically,E-learning,Venture - Series Unknown,5000000.0,Hyderabad,An experiential learning app for grades 6th to 12th.,2018.0,"Subbarao Siddabattula, Charu Noheria, Ilangovel Thulasimani","NB Ventures, Earlsfield Capital",2021
1932,Nestasia,Retail,Series A,4000000.0,Kolkata,"Artisanal, Handmade, bio conscious crafts from South East Asia.",2018.0,"Aditi Murarka Agrawal, Anurag Agrawal","Varun Alagh, Sahil Barua",2021
1933,Vedic Cosmeceuticals,Consumer Goods,Series A,32000000.0,Noida,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,2002.0,Mohit Goel,Sixth Sense Ventures,2021
1934,Juspay,FinTech,Series C,60000000.0,Bangalore,Enable frictionless payments for the billion Indians.,2012.0,"Vimal Kumar, Ramanathan RV",SoftBank Vision Fund 2,2021
1935,TranZact,InfoTech & Services,Series A,7000000.0,Mumbai,A mission to digitize millions of Indian SMEs so they can grow better.,2017.0,"Ritesh Kumar, Sharad Sen Sharma, Rohan Sen Sharma","Tribe Capital, Prime Venture Partners",2021
1936,Atomberg,Consumer Electronics,Venture - Series Unknown,20000000.0,Mumbai,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,2012.0,"Manoj, Sibabrata Das",Jungle Ventures,2021
1937,Ola,Transportation,Venture - Series Unknown,500000000.0,Bangalore,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",2010.0,Bhavish Aggarwal,Marquee international institutional investors,2021
1938,Mohalla Tech,Social media,Series G,266000000.0,Bangalore,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.",2015.0,"Ankush Sachdeva, Bhanu Pratap Singh",Alkeon Capital,2021
1939,Stack,FinTech,Seed,4500000.0,Bangalore,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,2020.0,"Smriti Tomar, Tushar Vyas","Y Combinator, Harvard Management",2021
1940,PropReturns,Real Estate,Venture - Series Unknown,1200000.0,Mumbai,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,2020.0,"Jayant Panwar, Kenish Shah","Y Combinator﻿, ﻿Goodwater Capital",2021
1941,WeSkill,E-learning,Pre-seed,4000000.0,Gurugram,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,2020.0,"Shaurya Joshi, Shashank Patidar, Praneet Agarwal","Shrishti Sahu, Umang Vohra",2021
1942,Fitpage,"Health, Wellness & Fitness",Venture - Series Unknown,300000.0,Mumbai,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",2020.0,Vikas Singh,"Astra Ventures, Gaurav Jaitly",2021
1943,ShopMyLooks,Digital platform,Venture - Series Unknown,200000.0,Noida,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,2021.0,Rohit Jaiswal,"Capital A, Collective Artists Network",2021
1944,ByteLearn,E-learning,Seed,9500000.0,Noida,AI powered teaching assistant for 100 Mn teachers across the world,2021.0,,"Aditya Singhal, Nishant Sinha",2021
1945,Dista,Tech,Seed,1200000.0,Pune,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,2017.0,"Nishant Kumar, Shishir Gokhale, Deepak Garg",Pentathlon Ventures,2021
1946,OfBusiness,FinTech,Venture - Series Unknown,325000000.0,Gurugram,"OfBusiness is a new age commerce and fintech start up, and is technologically driven to provide smart procurement and smart financing to SMEs.",2015.0,"Ruchi Kalra, Asish Mohapatra","Alpha Wave Ventures II, Tiger Global Management, SoftBank Vision Fund II",2021
1947,Bizongo,B2B Ecommerce,Series D,100000000.0,Mumbai,izongo is India’s largest B2B platform for made-to-order products.,2015.0,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,2021
1948,FRND,Online Media,Series A,6500000.0,Bangalore,FRND is an audio dating app for Bharat,2019.0,"Bhanu Pratap Singh Tanwar, Hardik Bansal, Harshvardhan Chhangani",KRAFTON,2021
1949,Metadome,Tech,Pre-series A,4000000.0,Bangalore,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.",2017.0,"Kanav Singla, Prashant Sinha, Shorya Mahajan","Chiratae Ventures, Lenskart Vision Fund",2021
1950,Keka HR,InfoTech & Services,Venture - Series Unknown,1600000.0,Hyderabad,Keka is a simple and intuitive HR software unlike the traditional HR systems.,2014.0,Vijay Yalamanchili,Recur Club,2021
1951,Flo Mobility,AI,Venture - Series Unknown,400000.0,Bangalore,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.",2019.0,"Manesh Jain, Mohan Kumar","DevX Venture Fund, Blume Founder Fund",2021
1952,Yodacart,E-Commerce,Pre-seed,225000.0,Thane,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,2019.0,Vikas Sharma,Ajith Daneil,2021
1953,TheHouseMonk,Real Estate,Venture - Series Unknown,5000000.0,Bangalore,A complete property management software platform for team&customers.,2019.0,"Ajay Kumar, Balaji Varadharajan",Aurum Proptech,2021
1954,Zepto,E-Commerce,Venture - Series Unknown,100000000.0,Bangalore,"Ability to consistently deliver 2,500+ products in 10 minutes flat.",2021.0,"Aadit Palicha, Kaivalya Vohra",Y-Combinator,2021
1955,Sirona Hygiene,"Health, Wellness & Fitness",Venture - Series Unknown,10000000.0,Delhi,"An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",2015.0,Deep Bajaj,The Good Glamm Group,2021
1956,Jumbotail,B2B Ecommerce,Series C,85000000.0,Bangalore,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores",2015.0,"S Karthik Venkateswaran, Ashish Jhina",Invus,2021
1957,Captain Fresh,Logistics,Series B,40000000.0,Bangalore,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,2019.0,Utham Gowda,"Tiger Global, Prosus Ventures",2021
1958,Deciwood,Consumer Electronics,Venture - Series Unknown,200000.0,Delhi,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",2018.0,Ananya Meena,"Shuru Up, Ankit Kedia, Arun Gupta",2021
1959,Kohbee,E-learning,Pre-seed,235000.0,Bangalore,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.",2019.0,"Rohan Sinha, Shashwat Aditya","Ankit Mehrotra, Saurabh Aggarwal",2021
1960,Perfora,Consumer Goods,Pre-seed,260000.0,Gurugram,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",2021.0,"Tushar Khurana, Jatan Bawa",Sauce.vc,2021
